D1/D0	ratio C/C_max
20.0	0.4526120370370473
10.0	0.46983722222221275
6.666666666666667	0.4725851851851706
5.0	0.47479268518518564
4.0	0.4918754629629658
3.3333333333333335	0.4895025000000165
2.857142857142857	0.48314944444444025
2.5	0.49053435185186023
2.2222222222222223	0.47548000000000384
2.0	0.48640083333332634
1.8181818181818181	0.4913871296296149
1.6666666666666667	0.48569388888890946
1.5384615384615383	0.4898986111111096
1.4285714285714286	0.48268018518519173
1.3333333333333333	0.4820870370370472
1.25	0.48940629629631
1.1764705882352942	0.4799198148148101
1.1111111111111112	0.4812808333333496
1.0526315789473684	0.482361666666679
1.0	0.49477268518517786
